age_cl,anveh_cl,ns_bg,cs_bg,franchise,anc_perm_cl,zone_bg,Formule,id
e.51-69,b.4-11,1,33,NON,e.>40,2,Maxi,7954
e.51-69,a.0-3,1,33,NON,e.>40,5,Maxi,21464
d.36-50,b.4-11,1,33,OUI,c.11-20,3,Maxi,92868
c.26-35,b.4-11,1,33,OUI,c.11-20,2,Maxi,137487
c.26-35,c.>=12,1,33,OUI,c.11-20,4,Maxi,145393
e.51-69,b.4-11,1,33,NON,e.>40,2,Maxi,214244
d.36-50,a.0-3,1,34,OUI,e.>40,2,Maxi,18933
e.51-69,a.0-3,1,34,NON,e.>40,2,Maxi,38536
e.51-69,c.>=12,1,34,NON,e.>40,3,Medi,48289
d.36-50,a.0-3,1,34,OUI,c.11-20,2,Maxi,74398
c.26-35,b.4-11,1,34,OUI,b.6-10,4,Medi,90715
c.26-35,b.4-11,1,34,OUI,c.11-20,5,Maxi,126499
c.26-35,b.4-11,1,34,OUI,c.11-20,2,Medi,147268
d.36-50,c.>=12,1,35,OUI,e.>40,2,Medi,7909
c.26-35,a.0-3,1,35,OUI,c.11-20,3,Maxi,31858
e.51-69,b.4-11,1,35,OUI,e.>40,2,Medi,58937
c.26-35,b.4-11,1,35,OUI,a.<=5,3,Maxi,64083
d.36-50,b.4-11,1,35,OUI,e.>40,4,Medi,72568
e.51-69,c.>=12,1,35,NON,e.>40,3,Medi,98933
d.36-50,b.4-11,1,35,OUI,c.11-20,3,Medi,142386
c.26-35,b.4-11,1,36,NON,b.6-10,3,Maxi,6004
e.51-69,c.>=12,1,36,NON,e.>40,5,Maxi,13231
e.51-69,b.4-11,1,36,NON,e.>40,3,Maxi,18376
c.26-35,b.4-11,1,36,OUI,c.11-20,3,Maxi,23834
e.51-69,c.>=12,1,36,NON,e.>40,2,Maxi,39414
f.>=70,b.4-11,1,36,NON,e.>40,3,Maxi,52091
d.36-50,c.>=12,1,36,NON,c.11-20,3,Medi,87078
e.51-69,c.>=12,1,36,NON,e.>40,5,Maxi,100281
e.51-69,c.>=12,1,36,OUI,b.6-10,4,Medi,100758
c.26-35,c.>=12,1,36,NON,c.11-20,3,Medi,105776
d.36-50,b.4-11,1,36,NON,e.>40,5,Maxi,127413
b.21-25,b.4-11,1,36,OUI,b.6-10,3,Maxi,145810
d.36-50,c.>=12,1,36,OUI,e.>40,3,Medi,179680
f.>=70,b.4-11,1,36,NON,e.>40,1,Maxi,215003
d.36-50,a.0-3,1,36,OUI,e.>40,1,Maxi,216018
f.>=70,b.4-11,1,37,NON,e.>40,4,Maxi,14028
d.36-50,b.4-11,1,37,NON,e.>40,2,Maxi,93726
e.51-69,b.4-11,1,37,NON,e.>40,2,Maxi,105672
e.51-69,b.4-11,1,37,NON,e.>40,1,Maxi,150491
d.36-50,b.4-11,1,37,OUI,e.>40,2,Maxi,158906
f.>=70,c.>=12,1,38,NON,e.>40,2,Maxi,3462
d.36-50,b.4-11,1,38,NON,e.>40,4,Maxi,51870
e.51-69,b.4-11,1,38,OUI,e.>40,5,Maxi,53245
d.36-50,b.4-11,1,38,OUI,c.11-20,3,Maxi,73035
e.51-69,b.4-11,1,38,NON,e.>40,4,Maxi,135389
e.51-69,b.4-11,1,38,NON,e.>40,3,Medi,161301
c.26-35,c.>=12,1,38.5,NON,b.6-10,2,Medi,130602
d.36-50,c.>=12,1,39,NON,d.21-40,2,Medi,73113
f.>=70,c.>=12,1,39,NON,e.>40,2,Maxi,76396
e.51-69,c.>=12,1,39,NON,e.>40,3,Medi,95586
d.36-50,c.>=12,1,39,OUI,c.11-20,3,Medi,100095
b.21-25,b.4-11,1,39,OUI,a.<=5,2,Maxi,113293
c.26-35,b.4-11,1,39,NON,c.11-20,2,Maxi,123909
d.36-50,c.>=12,1,39,OUI,c.11-20,3,Medi,139143
